"DATE","isOverSnowTotal"_CLMCOM-CCLM4-ECEARTH-EUR11-RCP45-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-ECEARTH-EUR11-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-HADGEM-EUR11-RCP45-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-HADGEM-EUR11-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-HADGEM-EUR44-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-MPIESM-EUR11-RCP45-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-MPIESM-EUR11-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-MPIESM-EUR44-RCP45-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-MPIESM-EUR44-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM5-ECEARTH-EUR44-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM5-HADGEM-EUR44-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM5-MIROC-EUR44-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM5-MPIESM-EUR44-RCP85-pcp,"isOverSnowTotal"_DMI-HIRHAM-ECEARTH-EUR11-RCP26-pcp,"isOverSnowTotal"_DMI-HIRHAM-ECEARTH-EUR11-RCP45-pcp,"isOverSnowTotal"_DMI-HIRHAM-ECEARTH-EUR11-RCP85-pcp,"isOverSnowTotal"_DMI-HIRHAM-ECEARTH-EUR44-RCP45-pcp,"isOverSnowTotal"_DMI-HIRHAM-ECEARTH-EUR44-RCP85-pcp,"isOverSnowTotal"_ICTP-REGCM-HADGEM-EUR44-RCP85-pcp,"isOverSnowTotal"_KNMI-RACMO-ECEARTH-EUR44-RCP45-pcp,"isOverSnowTotal"_KNMI-RACMO-ECEARTH-EUR44-RCP85-pcp,"isOverSnowTotal"_KNMI-RACMO-HADGEM-EUR44-RCP26-pcp,"isOverSnowTotal"_KNMI-RACMO-HADGEM-EUR44-RCP45-pcp,"isOverSnowTotal"_KNMI-RACMO-HADGEM-EUR44-RCP85-pcp,"isOverSnowTotal"_MPICSC-REMO1-MPIESM-EUR11-RCP26-pcp,"isOverSnowTotal"_MPICSC-REMO1-MPIESM-EUR11-RCP45-pcp,"isOverSnowTotal"_MPICSC-REMO1-MPIESM-EUR11-RCP85-pcp,"isOverSnowTotal"_MPICSC-REMO1-MPIESM-EUR44-RCP26-pcp,"isOverSnowTotal"_MPICSC-REMO1-MPIESM-EUR44-RCP45-pcp,"isOverSnowTotal"_MPICSC-REMO1-MPIESM-EUR44-RCP85-pcp,"isOverSnowTotal"_MPICSC-REMO2-MPIESM-EUR11-RCP26-pcp,"isOverSnowTotal"_MPICSC-REMO2-MPIESM-EUR11-RCP45-pcp,"isOverSnowTotal"_MPICSC-REMO2-MPIESM-EUR11-RCP85-pcp,"isOverSnowTotal"_MPICSC-REMO2-MPIESM-EUR44-RCP26-pcp,"isOverSnowTotal"_MPICSC-REMO2-MPIESM-EUR44-RCP45-pcp,"isOverSnowTotal"_MPICSC-REMO2-MPIESM-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-CCCMA-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-CCCMA-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-CSIRO-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-CSIRO-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-ECEARTH-EUR11-RCP26-pcp,"isOverSnowTotal"_SMHI-RCA-ECEARTH-EUR11-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-ECEARTH-EUR11-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-ECEARTH-EUR44-RCP26-pcp,"isOverSnowTotal"_SMHI-RCA-ECEARTH-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-ECEARTH-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-GFDL-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-GFDL-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-HADGEM-EUR11-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-HADGEM-EUR11-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-HADGEM-EUR44-RCP26-pcp,"isOverSnowTotal"_SMHI-RCA-HADGEM-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-HADGEM-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-IPSL-EUR11-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-IPSL-EUR11-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-IPSL-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-IPSL-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-MIROC-EUR44-RCP26-pcp,"isOverSnowTotal"_SMHI-RCA-MIROC-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-MIROC-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-MPIESM-EUR11-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-MPIESM-EUR11-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-MPIESM-EUR44-RCP26-pcp,"isOverSnowTotal"_SMHI-RCA-MPIESM-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-MPIESM-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-NORESM-EUR44-RCP26-pcp,"isOverSnowTotal"_SMHI-RCA-NORESM-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-NORESM-EUR44-RCP85-pcp
2021-2022,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2022-2023,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2023-2024,182,182,179,179,179,182,182,182,182,182,179,181,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,181,181,181,181,182,182,182,182,182,182,181,181,179,179,179,179,179,181,181,181,181,181,181,181,182,182,182,182,182,181,181,181
2024-2025,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2025-2026,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2026-2027,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2027-2028,182,182,179,179,179,182,182,182,182,182,179,182,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,179,179,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
2028-2029,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2029-2030,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2030-2031,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2031-2032,182,182,179,179,179,182,182,182,182,182,179,182,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,179,179,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
2032-2033,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2033-2034,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2034-2035,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2035-2036,182,182,179,179,179,182,182,182,182,182,179,182,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,179,179,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
2036-2037,181,181,178,178,178,181,181,181,181,181,178,180,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,180,180,180,180,181,181,181,181,181,181,180,180,178,178,178,178,178,180,180,180,180,180,180,180,181,181,181,181,181,180,180,180
2037-2038,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2038-2039,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2039-2040,182,182,179,179,179,182,182,182,182,182,179,182,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,179,179,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
2040-2041,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2041-2042,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2042-2043,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2043-2044,182,182,179,179,179,182,182,182,182,182,179,181,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,181,181,181,181,182,182,182,182,182,182,181,181,179,179,179,179,179,181,181,181,181,181,181,181,182,182,182,182,182,181,181,181
2044-2045,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2045-2046,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2046-2047,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2047-2048,182,182,179,179,179,182,182,182,182,182,179,182,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,179,179,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
2048-2049,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2049-2050,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2050-2051,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2051-2052,182,182,179,179,179,182,182,182,182,182,179,182,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,179,179,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
2052-2053,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2053-2054,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2054-2055,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2055-2056,182,182,180,180,180,182,182,182,182,182,180,181,182,182,182,182,182,182,180,182,182,180,180,180,182,182,182,182,182,182,182,182,182,182,182,182,181,181,181,181,182,182,182,182,182,182,181,181,180,180,180,180,180,181,181,181,181,181,181,181,182,182,182,182,182,181,181,181
2056-2057,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2057-2058,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2058-2059,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2059-2060,182,182,179,179,179,182,182,182,182,182,179,182,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,179,179,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
2060-2061,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2061-2062,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2062-2063,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2063-2064,182,182,179,179,179,182,182,182,182,182,179,182,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,179,179,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
2064-2065,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2065-2066,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2066-2067,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2067-2068,182,182,179,179,179,182,182,182,182,182,179,181,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,181,181,181,181,182,182,182,182,182,182,181,181,179,179,179,179,179,181,181,181,181,181,181,181,182,182,182,182,182,181,181,181
2068-2069,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2069-2070,181,181,180,180,180,181,181,181,181,181,180,181,181,181,181,181,181,181,180,181,181,180,180,180,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,180,180,180,180,180,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2070-2071,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2071-2072,182,182,180,180,180,182,182,182,182,182,180,182,182,182,182,182,182,182,180,182,182,180,180,180,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,180,180,180,180,180,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
2072-2073,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2073-2074,181,181,180,180,180,181,181,181,181,181,180,181,181,181,181,181,181,181,180,181,181,180,180,180,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,180,180,180,180,180,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2074-2075,181,181,180,180,180,181,181,181,181,181,180,181,181,181,181,181,181,181,180,181,181,180,180,180,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,180,180,180,180,180,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2075-2076,182,182,179,179,179,182,182,182,182,182,179,182,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,179,179,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
2076-2077,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2077-2078,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2078-2079,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2079-2080,182,182,179,179,179,182,182,182,182,182,179,182,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,179,179,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
2080-2081,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2081-2082,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2082-2083,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2083-2084,182,182,180,180,180,182,182,182,182,182,180,182,182,182,182,182,182,182,180,182,182,180,180,180,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,180,180,180,180,180,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
2084-2085,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2085-2086,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2086-2087,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2087-2088,182,182,179,179,179,182,182,182,182,182,179,181,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,181,181,181,181,182,182,182,182,182,182,181,181,179,179,179,179,179,181,181,181,181,181,181,181,182,182,182,182,182,181,181,181
2088-2089,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2089-2090,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2090-2091,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,124,181,181,181,181,181,181,181,181,181,181,181,181,181
2091-2092,182,182,179,179,179,182,182,182,182,182,179,182,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,179,111,179,179,179,182,121,182,182,182,182,182,182,182,182,182,182,182,182,182
2092-2093,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,111,178,178,178,181,144,181,181,181,181,181,181,181,181,181,181,181,181,181
2093-2094,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,27,178,178,178,181,122,181,181,181,181,181,181,181,181,181,181,181,181,181
2094-2095,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,104,178,178,178,181,147,181,181,181,181,181,181,181,181,181,181,181,181,181
2095-2096,182,182,179,179,179,182,182,182,182,182,179,181,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,181,181,181,181,182,182,182,182,182,182,181,181,179,133,179,179,179,181,95,181,181,181,181,181,182,182,182,182,182,181,181,181
2096-2097,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,98,179,179,179,181,56,181,181,181,181,181,181,181,181,181,181,181,181,181
2097-2098,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,68,178,178,178,181,126,181,181,181,181,181,181,181,181,181,181,181,181,181
2098-2099,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,14,178,178,178,181,118,181,181,181,181,181,181,181,181,181,181,181,181,181
