"DATE","isOverSnowTotal"_sc_26_1,"isOverSnowTotal"_sc_26_2,"isOverSnowTotal"_sc_26_3,"isOverSnowTotal"_sc_26_4,"isOverSnowTotal"_sc_26_5,"isOverSnowTotal"_sc_26_6,"isOverSnowTotal"_sc_26_7,"isOverSnowTotal"_sc_26_8,"isOverSnowTotal"_sc_26_9,"isOverSnowTotal"_sc_26_10,"isOverSnowTotal"_sc_26_11,"isOverSnowTotal"_sc_26_12,"isOverSnowTotal"_sc_45_1,"isOverSnowTotal"_sc_45_2,"isOverSnowTotal"_sc_45_3,"isOverSnowTotal"_sc_45_4,"isOverSnowTotal"_sc_45_5,"isOverSnowTotal"_sc_45_6,"isOverSnowTotal"_sc_45_7,"isOverSnowTotal"_sc_45_8,"isOverSnowTotal"_sc_45_9,"isOverSnowTotal"_sc_45_10,"isOverSnowTotal"_sc_45_11,"isOverSnowTotal"_sc_45_12,"isOverSnowTotal"_sc_45_13,"isOverSnowTotal"_sc_45_14,"isOverSnowTotal"_sc_45_15,"isOverSnowTotal"_sc_45_16,"isOverSnowTotal"_sc_45_17,"isOverSnowTotal"_sc_45_18,"isOverSnowTotal"_sc_45_19,"isOverSnowTotal"_sc_45_20,"isOverSnowTotal"_sc_45_21,"isOverSnowTotal"_sc_45_22,"isOverSnowTotal"_sc_45_23,"isOverSnowTotal"_sc_45_24,"isOverSnowTotal"_sc_45_25,"isOverSnowTotal"_sc_85_1,"isOverSnowTotal"_sc_85_2,"isOverSnowTotal"_sc_85_3,"isOverSnowTotal"_sc_85_4,"isOverSnowTotal"_sc_85_5,"isOverSnowTotal"_sc_85_6,"isOverSnowTotal"_sc_85_7,"isOverSnowTotal"_sc_85_8,"isOverSnowTotal"_sc_85_9,"isOverSnowTotal"_sc_85_10,"isOverSnowTotal"_sc_85_11,"isOverSnowTotal"_sc_85_12,"isOverSnowTotal"_sc_85_13,"isOverSnowTotal"_sc_85_14,"isOverSnowTotal"_sc_85_15,"isOverSnowTotal"_sc_85_16,"isOverSnowTotal"_sc_85_17,"isOverSnowTotal"_sc_85_18,"isOverSnowTotal"_sc_85_19,"isOverSnowTotal"_sc_85_20,"isOverSnowTotal"_sc_85_21,"isOverSnowTotal"_sc_85_22,"isOverSnowTotal"_sc_85_23,"isOverSnowTotal"_sc_85_24,"isOverSnowTotal"_sc_85_25,"isOverSnowTotal"_sc_85_26,"isOverSnowTotal"_sc_85_27,"isOverSnowTotal"_sc_85_28,"isOverSnowTotal"_sc_85_29,"isOverSnowTotal"_sc_85_30,"isOverSnowTotal"_sc_85_31
2014-2015,181,181,179,180,179,181,181,180,181,181,181,181,181,181,181,181,181,178,181,181,181,181,179,179,180,181,181,181,179,181,181,180,180,181,181,181,181,181,179,179,181,180,181,181,181,181,181,179,181,178,181,178,180,181,181,181,181,180,181,181,181,181,180,180,179,181,179,181
2015-2016,182,182,181,182,180,180,181,182,182,182,180,182,181,182,182,182,181,181,180,182,182,181,180,181,182,182,181,181,181,182,182,180,180,182,180,182,181,182,180,181,182,181,181,182,180,182,181,181,180,181,181,180,182,180,182,180,182,182,180,181,180,182,182,182,179,182,181,181
2016-2017,181,181,181,181,181,180,181,179,181,179,180,181,181,181,181,181,181,181,178,181,181,181,181,181,181,181,181,179,181,181,181,180,180,179,180,179,181,181,181,179,181,179,181,181,180,179,181,181,180,181,179,181,181,180,181,180,181,181,180,181,180,179,181,179,178,181,181,181
2017-2018,181,181,179,179,181,181,181,180,181,180,181,181,181,181,181,181,181,181,180,179,181,181,181,181,181,181,181,180,181,179,181,181,181,178,181,178,181,181,181,180,181,180,179,181,179,180,181,181,181,181,180,181,179,181,181,181,181,181,179,181,181,178,181,180,180,179,181,179
2018-2019,181,181,180,180,181,179,181,181,181,181,181,179,181,181,181,181,181,181,181,180,181,181,179,181,179,181,179,181,181,178,181,181,181,180,181,180,181,181,179,181,181,181,180,181,180,181,179,181,181,181,181,181,180,181,181,181,181,181,180,179,179,178,179,181,179,180,181,180
2019-2020,182,182,182,182,182,181,181,180,182,181,180,181,182,181,182,181,182,182,182,182,181,182,181,181,181,181,179,180,182,179,182,182,182,181,180,182,181,180,180,182,181,182,181,181,182,181,179,182,180,181,180,182,181,182,182,182,180,182,181,181,181,179,181,182,179,182,182,182
2020-2021,181,181,179,181,181,181,181,178,181,181,180,181,179,181,181,179,179,181,181,181,181,179,181,181,181,181,180,180,181,180,181,181,181,181,180,181,181,178,179,179,181,181,181,181,181,181,180,181,180,179,178,181,181,181,181,181,180,179,181,181,179,180,181,181,180,181,181,181
2021-2022,181,179,180,181,181,179,181,180,181,181,181,181,180,179,181,180,180,179,181,181,181,180,181,181,181,179,181,181,181,181,181,181,179,181,181,181,181,180,180,180,181,179,181,181,181,181,181,181,179,180,180,181,181,179,181,179,181,180,181,181,178,181,181,181,181,179,181,179
2022-2023,181,179,181,181,181,180,181,180,181,181,181,181,181,180,181,181,180,180,180,181,181,181,181,181,181,180,181,180,181,181,181,180,180,181,181,181,181,181,181,181,181,179,181,181,180,181,181,181,180,181,181,180,181,179,181,180,181,181,181,180,180,181,180,181,181,180,180,180
2023-2024,180,180,182,182,182,182,182,181,180,182,182,181,182,181,181,180,179,180,181,181,181,181,180,181,182,182,182,180,182,182,182,181,182,182,182,182,182,182,180,182,181,180,182,182,181,180,180,182,182,180,182,180,180,180,182,182,182,180,181,181,181,182,181,182,181,181,179,182
2024-2025,180,181,181,181,181,179,179,181,180,181,181,181,181,181,181,178,178,180,181,179,181,181,180,181,181,181,181,179,181,181,181,181,181,181,181,181,181,181,180,179,181,181,181,181,179,180,180,181,181,180,181,181,178,179,181,181,181,178,181,179,181,181,181,179,181,181,180,181
2025-2026,179,181,181,181,181,181,181,181,179,181,181,181,179,181,181,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,181,181,181,181,179,181,179,181,181,181,181,179,181,179,181,181,179,179,181,181,181,181,181,181,181,181,179,181,181,181,181,181,181
2026-2027,180,181,180,181,181,181,181,181,180,181,180,181,180,181,181,180,181,181,181,180,180,181,181,181,181,181,181,181,181,181,181,181,180,180,179,181,181,181,181,180,181,180,180,181,181,181,180,181,180,181,181,180,180,181,181,180,180,180,180,181,181,179,181,180,181,181,181,181
2027-2028,182,182,181,180,182,182,182,180,182,182,181,182,180,180,182,182,182,182,182,181,181,182,182,182,182,182,182,182,182,182,182,180,181,182,179,182,182,182,182,182,182,182,181,182,182,182,182,182,182,180,182,182,180,180,182,181,181,181,179,180,180,181,182,181,182,182,180,182
2028-2029,181,181,181,180,181,180,181,180,180,181,181,181,180,180,181,181,181,181,181,181,181,181,181,180,181,181,181,181,181,181,181,179,181,181,179,181,180,181,181,181,181,181,181,181,181,180,180,181,181,180,181,181,180,179,181,181,181,180,180,180,180,180,181,181,180,181,179,181
2029-2030,179,181,181,181,181,180,179,181,180,181,181,181,179,181,181,179,181,181,179,181,181,181,181,180,181,181,181,181,181,181,181,178,181,181,180,181,180,181,179,181,179,181,181,179,181,180,180,181,181,181,181,181,181,178,181,181,181,180,179,181,181,180,181,179,180,181,180,179
2030-2031,179,181,181,181,181,181,179,181,181,181,181,181,179,180,181,180,180,181,180,181,181,181,181,181,181,181,180,181,181,181,181,180,181,181,181,181,181,180,180,181,180,180,181,180,181,181,181,181,180,180,181,181,181,180,181,181,181,181,180,180,181,181,180,179,181,181,181,180
2031-2032,181,180,182,182,182,182,179,182,182,182,182,182,181,181,182,182,181,182,182,180,182,182,182,182,182,182,181,180,182,182,182,180,182,182,182,182,180,181,182,182,182,181,180,182,182,180,182,182,181,179,182,180,182,180,182,182,180,180,182,181,182,182,181,181,182,182,182,182
2032-2033,181,178,181,181,181,181,180,179,181,181,181,181,181,181,181,179,181,181,181,180,179,181,181,181,181,181,181,178,181,181,179,180,181,181,181,181,180,181,181,181,181,179,180,181,181,180,181,179,181,180,181,180,179,178,181,181,178,180,179,181,181,181,181,181,181,181,181,179
2033-2034,181,180,181,181,181,181,181,180,179,181,179,181,181,181,181,178,181,181,181,181,180,179,181,181,181,181,181,180,179,181,178,181,181,181,181,181,181,181,181,181,181,178,179,181,181,181,181,180,181,179,181,181,180,180,181,181,180,179,180,181,179,179,181,181,179,181,181,180
2034-2035,179,181,181,181,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,181,181,181,179,181,181,179,179,181,179,181,181,181,181,181,181,181,181,181,181,181,181,179,181,181,181,181,181,179,179,181,179,181,181,181
2035-2036,181,182,180,182,182,182,182,182,182,179,182,182,180,182,182,182,182,181,182,182,182,182,179,182,182,180,182,182,182,182,181,182,182,182,182,182,179,182,182,181,181,182,179,182,182,180,182,182,182,180,182,182,182,180,182,179,180,182,182,182,182,181,179,182,181,182,182,182
2036-2037,181,181,178,181,181,180,181,181,181,180,179,180,178,181,180,181,181,180,181,181,181,181,180,180,181,180,179,180,181,180,181,181,180,179,180,181,178,181,181,178,181,181,180,180,181,180,180,181,181,180,179,179,180,180,179,180,180,181,180,180,179,180,180,179,181,178,181,181
2037-2038,179,181,181,181,181,179,181,181,181,181,181,181,181,181,181,181,181,179,181,181,181,181,181,181,181,181,179,181,179,179,181,181,181,181,181,181,181,181,181,181,181,181,179,181,179,181,181,179,179,181,179,179,181,181,181,179,181,181,181,181,181,181,181,181,181,181,181,181
2038-2039,180,181,181,181,181,180,181,181,181,180,180,181,181,181,181,181,181,180,180,181,181,181,181,181,181,181,180,181,179,180,181,181,181,181,180,181,180,181,180,181,181,181,180,181,180,181,181,179,179,181,180,179,181,181,181,179,181,181,181,181,180,181,180,181,181,181,181,181
2039-2040,182,182,182,182,180,180,182,182,182,181,181,182,182,182,180,182,182,182,181,182,182,182,180,182,180,182,180,182,181,182,182,182,182,182,181,182,181,182,181,180,182,182,182,182,182,182,182,181,181,180,182,181,182,182,182,179,182,180,182,182,181,180,181,182,182,180,182,180
2040-2041,181,180,181,181,180,180,181,181,181,180,181,181,181,181,180,181,181,181,180,181,181,181,180,181,180,181,180,181,181,180,181,181,180,180,181,181,181,181,181,180,181,180,181,181,181,181,180,180,181,180,181,181,181,180,181,180,181,180,181,181,181,180,181,181,180,179,181,179
2041-2042,181,180,181,181,181,181,179,181,181,180,181,179,179,179,181,181,181,181,180,181,181,181,181,181,181,181,181,179,181,180,181,181,180,180,179,181,181,181,181,181,181,178,179,181,181,181,180,180,181,181,179,181,181,180,179,181,181,179,181,181,181,181,181,179,180,178,181,180
2042-2043,181,181,181,181,181,181,180,179,181,179,181,180,180,178,181,181,181,181,181,181,181,181,181,181,181,181,179,180,181,181,181,181,181,179,178,181,181,181,181,181,181,180,180,181,181,179,181,181,181,181,180,179,181,181,180,179,181,180,179,181,181,179,181,180,181,178,179,181
2043-2044,182,180,182,182,182,182,181,180,182,181,182,180,180,181,181,182,182,182,180,180,182,181,182,181,181,182,181,182,182,182,182,182,181,180,179,182,181,182,181,180,180,182,181,181,182,181,180,182,182,182,182,181,182,180,182,180,182,182,180,181,182,180,182,180,180,180,179,182
2044-2045,181,180,181,181,181,179,179,181,181,181,181,180,180,181,181,181,181,181,180,180,179,179,181,179,181,181,181,179,181,181,181,181,181,181,180,181,181,181,181,180,180,179,179,181,181,179,180,179,181,181,181,181,181,180,181,181,181,181,181,181,181,181,181,180,180,179,178,179
2045-2046,181,181,181,181,181,181,179,179,181,181,181,181,181,181,181,181,181,181,179,181,181,181,181,181,181,181,181,179,181,181,181,179,181,179,181,181,181,181,179,181,181,181,181,181,181,181,181,181,179,181,181,181,181,181,181,181,181,179,181,181,179,181,179,181,179,179,181,181
2046-2047,181,181,181,181,181,179,180,180,179,181,181,181,181,181,179,181,181,181,180,181,181,181,181,179,181,181,181,180,181,181,181,180,181,180,179,181,179,179,180,181,181,181,181,181,181,179,181,181,178,181,181,181,181,179,181,181,179,180,181,179,180,179,180,181,180,180,181,181
2047-2048,180,182,182,182,182,181,182,182,179,182,182,182,180,182,181,182,182,182,182,180,180,182,182,181,182,182,182,182,182,182,182,182,182,182,181,180,181,181,182,180,182,182,182,182,180,181,182,182,181,182,182,182,182,179,180,180,181,182,182,181,182,179,182,182,182,180,182,182
2048-2049,180,181,181,181,181,181,181,181,180,181,179,179,178,181,181,181,181,181,181,178,180,181,179,181,181,181,181,181,181,179,181,181,181,181,181,180,181,181,181,180,181,179,181,181,178,179,181,181,181,179,181,181,181,180,180,180,181,181,181,179,181,180,179,181,181,180,181,179
2049-2050,181,179,181,181,181,181,181,181,181,179,180,180,180,179,181,181,181,181,181,180,181,181,180,181,181,179,181,181,179,178,181,181,181,181,181,181,181,179,179,181,181,178,181,181,180,180,181,181,181,180,181,181,181,181,181,181,181,181,179,178,181,181,180,181,179,181,181,178
2050-2051,181,180,181,181,181,181,181,179,181,180,179,181,179,180,181,181,179,181,181,181,181,181,181,181,181,180,181,181,180,180,181,181,179,181,181,179,181,178,180,181,181,180,181,181,181,181,181,181,179,181,181,181,179,179,181,181,181,181,178,180,181,181,181,181,180,179,179,180
2051-2052,182,182,182,182,182,182,182,181,182,180,181,180,179,182,182,180,181,182,182,182,182,182,180,182,182,182,182,182,182,182,182,182,181,182,182,181,180,179,182,182,182,182,182,182,182,182,182,182,179,182,182,180,181,181,180,182,182,180,181,182,182,180,182,182,182,181,181,180
2052-2053,181,181,179,181,181,181,181,181,181,178,181,180,180,179,181,180,181,181,181,181,181,181,180,179,181,181,179,181,181,181,181,181,179,181,181,181,180,180,181,181,181,181,181,181,181,181,181,181,180,181,181,178,181,181,180,179,181,178,181,179,181,180,179,181,181,179,179,180
2053-2054,181,179,180,181,181,181,181,181,181,180,181,179,181,180,181,181,181,181,181,181,181,181,181,178,179,181,180,181,179,181,181,181,178,181,181,181,181,181,181,181,181,181,179,181,181,181,181,181,181,179,179,180,181,181,179,178,181,180,181,180,181,181,180,181,179,178,180,181
2054-2055,180,180,181,181,181,181,181,181,181,180,181,180,181,181,181,181,181,181,180,181,181,181,181,180,179,180,181,181,180,181,181,181,179,181,181,181,181,181,181,181,181,180,180,180,181,181,181,181,181,180,179,181,181,181,179,179,180,181,181,181,181,181,181,181,179,180,181,181
2055-2056,181,182,182,180,181,182,182,182,182,180,182,182,182,182,182,181,182,180,182,181,182,182,180,181,182,182,182,181,182,182,182,180,182,181,181,181,180,182,181,182,182,180,180,182,182,181,182,180,180,182,181,182,181,181,180,180,182,181,182,182,182,182,182,181,182,181,180,182
2056-2057,179,181,179,180,181,181,181,181,181,180,181,181,179,181,181,181,181,180,179,179,181,181,180,181,181,181,181,181,181,179,181,180,181,181,181,181,180,181,181,181,181,180,180,181,181,181,179,180,180,181,181,179,181,181,180,180,181,179,179,181,181,181,181,179,179,181,180,179
2057-2058,180,181,180,181,181,181,181,180,180,181,181,181,180,180,181,181,181,180,180,180,181,181,181,181,181,181,181,180,181,180,181,180,181,181,181,181,181,181,181,181,181,181,181,181,181,181,180,181,181,181,181,180,180,181,180,180,181,180,179,181,181,181,180,180,180,181,180,179
2058-2059,181,181,181,181,181,179,181,180,180,179,181,181,181,180,179,181,181,180,181,179,181,181,181,181,181,181,181,180,181,181,179,180,181,181,179,181,181,181,181,181,181,181,181,181,181,181,179,181,179,179,181,181,178,179,178,180,181,181,180,179,181,181,180,181,181,181,180,180
2059-2060,182,182,182,182,182,179,180,182,182,181,182,182,182,182,181,182,180,182,182,181,182,182,182,182,182,180,182,180,182,182,181,182,180,182,181,182,182,182,182,182,182,182,182,182,182,180,181,182,181,179,182,180,181,181,181,180,182,182,180,181,182,182,182,182,182,180,182,180
2060-2061,181,181,179,181,181,180,178,181,181,181,181,181,181,181,181,181,180,179,181,179,181,181,181,181,181,180,179,180,181,181,181,181,180,179,181,181,181,181,181,181,181,179,181,179,181,180,181,181,181,180,179,180,181,181,181,180,179,181,180,181,179,179,181,179,181,180,181,180
