"DATE","isOverSnowTotal"_sc_26_1,"isOverSnowTotal"_sc_26_2,"isOverSnowTotal"_sc_26_3,"isOverSnowTotal"_sc_26_4,"isOverSnowTotal"_sc_26_5,"isOverSnowTotal"_sc_26_6,"isOverSnowTotal"_sc_26_7,"isOverSnowTotal"_sc_26_8,"isOverSnowTotal"_sc_26_9,"isOverSnowTotal"_sc_26_10,"isOverSnowTotal"_sc_26_11,"isOverSnowTotal"_sc_26_12,"isOverSnowTotal"_sc_45_1,"isOverSnowTotal"_sc_45_2,"isOverSnowTotal"_sc_45_3,"isOverSnowTotal"_sc_45_4,"isOverSnowTotal"_sc_45_5,"isOverSnowTotal"_sc_45_6,"isOverSnowTotal"_sc_45_7,"isOverSnowTotal"_sc_45_8,"isOverSnowTotal"_sc_45_9,"isOverSnowTotal"_sc_45_10,"isOverSnowTotal"_sc_45_11,"isOverSnowTotal"_sc_45_12,"isOverSnowTotal"_sc_45_13,"isOverSnowTotal"_sc_45_14,"isOverSnowTotal"_sc_45_15,"isOverSnowTotal"_sc_45_16,"isOverSnowTotal"_sc_45_17,"isOverSnowTotal"_sc_45_18,"isOverSnowTotal"_sc_45_19,"isOverSnowTotal"_sc_45_20,"isOverSnowTotal"_sc_45_21,"isOverSnowTotal"_sc_45_22,"isOverSnowTotal"_sc_45_23,"isOverSnowTotal"_sc_45_24,"isOverSnowTotal"_sc_45_25,"isOverSnowTotal"_sc_85_1,"isOverSnowTotal"_sc_85_2,"isOverSnowTotal"_sc_85_3,"isOverSnowTotal"_sc_85_4,"isOverSnowTotal"_sc_85_5,"isOverSnowTotal"_sc_85_6,"isOverSnowTotal"_sc_85_7,"isOverSnowTotal"_sc_85_8,"isOverSnowTotal"_sc_85_9,"isOverSnowTotal"_sc_85_10,"isOverSnowTotal"_sc_85_11,"isOverSnowTotal"_sc_85_12,"isOverSnowTotal"_sc_85_13,"isOverSnowTotal"_sc_85_14,"isOverSnowTotal"_sc_85_15,"isOverSnowTotal"_sc_85_16,"isOverSnowTotal"_sc_85_17,"isOverSnowTotal"_sc_85_18,"isOverSnowTotal"_sc_85_19,"isOverSnowTotal"_sc_85_20,"isOverSnowTotal"_sc_85_21,"isOverSnowTotal"_sc_85_22,"isOverSnowTotal"_sc_85_23,"isOverSnowTotal"_sc_85_24,"isOverSnowTotal"_sc_85_25,"isOverSnowTotal"_sc_85_26,"isOverSnowTotal"_sc_85_27,"isOverSnowTotal"_sc_85_28,"isOverSnowTotal"_sc_85_29,"isOverSnowTotal"_sc_85_30,"isOverSnowTotal"_sc_85_31
1981-1982,286,291,286,283,289,291,293,288,293,291,287,289,291,288,290,287,288,285,288,283,291,282,284,286,290,285,275,290,289,287,292,288,289,289,289,290,289,290,288,285,288,293,286,290,287,287,281,280,290,283,275,292,284,283,290,288,284,285,286,293,283,293,291,291,290,287,288,287
1982-1983,181,181,180,178,181,181,181,181,179,181,181,181,181,181,181,181,181,180,179,181,181,178,181,178,181,180,181,181,181,181,181,181,181,179,181,181,181,179,181,179,181,181,181,181,181,178,180,180,181,181,181,181,180,181,178,180,180,179,179,181,181,181,179,181,181,181,181,181
1983-1984,182,180,182,182,182,182,182,180,182,182,182,182,182,182,182,182,182,182,182,180,182,180,180,182,182,182,182,182,182,180,182,182,182,182,182,182,182,182,182,182,180,182,182,182,182,182,182,182,180,182,182,180,182,180,180,182,182,182,182,182,182,182,180,182,182,180,182,182
1984-1985,179,180,181,179,181,181,181,180,181,181,181,181,181,181,181,181,181,179,179,180,179,180,180,181,181,181,181,181,181,180,181,181,181,181,181,179,181,179,181,181,180,181,181,181,181,181,181,181,180,181,181,178,179,180,180,181,181,181,179,179,179,179,180,181,181,180,181,181
1985-1986,180,181,181,180,181,181,181,180,180,181,181,181,180,180,181,181,181,180,180,181,180,181,181,181,181,181,181,181,181,181,181,181,180,181,181,179,181,180,180,181,181,181,181,181,181,181,181,180,181,181,181,180,179,180,180,181,181,181,180,179,179,180,181,181,181,181,181,181
1986-1987,181,179,181,181,181,179,181,180,180,181,181,181,180,180,181,181,179,181,179,181,181,181,181,181,181,181,181,181,181,181,181,181,180,179,179,180,181,181,180,181,181,181,181,181,181,181,179,180,181,179,181,181,180,180,180,181,179,181,179,180,180,181,179,179,179,181,181,181
1987-1988,182,180,180,182,182,181,181,182,180,182,182,182,182,181,180,181,181,181,181,182,182,182,182,181,181,180,182,181,182,181,180,182,180,181,181,182,182,182,181,182,180,180,182,182,182,180,180,181,180,181,181,182,182,182,181,182,181,182,180,182,182,182,179,179,181,180,181,181
1988-1989,179,181,180,181,179,181,181,181,180,181,181,181,179,181,180,181,181,181,181,181,181,181,181,181,181,180,179,179,181,181,180,181,180,181,181,179,181,181,181,181,178,180,181,179,181,180,179,179,180,179,181,181,181,181,181,181,181,181,181,181,181,181,180,180,181,178,179,181
1989-1990,180,181,181,181,180,181,181,179,181,179,181,181,180,181,181,179,179,181,181,181,179,181,181,181,181,181,178,180,181,181,181,181,181,181,181,180,181,179,179,181,180,181,181,180,181,179,180,178,179,180,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,180,181
1990-1991,180,181,181,181,181,181,181,180,181,180,180,181,181,181,181,180,180,181,181,180,180,180,181,181,180,180,180,181,181,181,181,181,181,181,181,181,181,179,179,181,181,180,181,180,180,180,180,180,180,181,180,181,181,181,181,180,181,181,181,181,181,181,181,181,181,180,181,181
1991-1992,181,180,182,182,182,182,182,182,180,182,180,181,182,182,180,182,182,181,181,181,181,181,181,181,181,179,180,182,181,182,182,182,182,181,180,182,182,181,181,180,182,180,182,181,179,180,181,182,182,180,181,182,182,180,181,181,181,182,182,182,181,182,181,181,182,181,180,180
1992-1993,181,180,179,181,181,181,179,181,180,181,181,181,181,179,178,181,181,181,181,179,181,181,181,181,181,180,180,181,181,181,181,179,181,181,180,181,181,181,181,178,181,181,181,181,180,180,181,181,181,178,181,179,181,180,181,181,181,179,179,181,181,181,181,179,181,181,178,180
1993-1994,179,181,180,181,181,181,180,181,181,181,181,179,179,180,180,179,181,181,181,178,181,181,181,181,181,181,181,181,181,181,181,180,181,181,181,181,179,181,181,178,181,181,181,181,179,181,181,179,181,180,181,180,181,181,181,181,181,180,180,179,181,179,181,178,179,181,180,181
1994-1995,180,181,181,181,181,181,179,181,181,179,181,180,180,181,181,180,181,181,181,178,181,181,179,181,179,181,181,181,179,181,181,181,181,181,181,181,180,181,181,180,179,181,181,181,180,179,179,180,179,181,181,181,181,181,181,181,181,179,181,180,181,180,181,180,178,181,181,179
1995-1996,180,181,182,182,181,182,179,182,182,181,182,182,182,182,182,181,182,182,182,180,182,181,181,180,181,182,182,181,180,181,180,180,182,182,182,181,180,181,182,182,181,180,180,182,181,181,181,180,181,181,180,181,182,181,182,182,181,180,181,182,180,182,182,182,181,180,182,179
1996-1997,180,180,181,181,180,181,180,181,181,181,181,181,181,181,181,181,181,181,181,180,181,181,181,179,181,181,181,181,181,181,180,180,180,181,180,181,180,180,181,180,181,179,180,181,181,180,181,180,181,181,180,181,181,180,181,181,181,180,181,181,180,181,181,181,181,179,181,180
1997-1998,181,180,181,181,180,181,181,180,181,181,180,181,180,180,181,180,181,181,181,179,181,181,181,180,181,181,181,181,181,181,181,181,180,181,180,181,181,180,181,179,181,180,181,180,181,180,181,181,181,181,181,181,180,179,181,181,181,180,181,181,181,181,181,180,181,180,180,180
1998-1999,181,181,181,181,181,179,181,180,181,179,180,181,180,180,181,180,179,181,181,180,179,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,181,179,179,180,181,181,181,180,179,181,181,181,181,181,179,181,180,180,181,181,181,181,181,181,181,181,179,178,181,181,178,180
1999-2000,180,182,182,182,182,181,182,180,182,181,182,182,182,182,182,182,181,182,180,182,181,182,182,180,182,181,182,180,182,180,182,182,182,181,182,182,182,179,181,182,182,180,182,182,179,182,180,182,180,182,181,182,182,182,180,182,182,182,180,182,182,182,181,181,182,182,181,182
2000-2001,180,181,181,181,181,179,181,180,181,181,181,179,181,181,181,181,181,181,180,181,181,181,181,180,181,181,179,178,181,180,181,179,181,179,181,181,181,180,179,181,181,180,181,181,180,181,180,181,180,179,181,181,181,179,180,181,179,181,180,179,181,181,181,179,179,181,181,181
2001-2002,181,181,181,181,179,178,181,181,181,181,181,180,181,181,181,179,181,181,181,181,181,181,181,179,181,181,178,180,181,181,179,180,181,180,181,181,181,179,180,179,181,179,181,181,179,181,181,181,181,180,181,181,181,180,179,181,180,181,179,180,181,179,181,180,180,181,181,181
2002-2003,181,179,179,181,180,180,181,181,181,181,181,181,179,181,181,180,181,181,181,181,181,181,181,178,181,181,180,181,181,181,180,181,179,179,181,181,181,180,181,180,179,178,181,181,180,179,181,181,181,181,181,181,179,179,180,181,181,181,180,179,181,180,179,181,181,181,181,181
2003-2004,182,181,181,182,181,181,182,182,182,180,182,180,181,182,182,181,181,182,180,182,181,182,182,180,180,181,182,182,180,180,181,182,181,181,182,181,182,181,182,182,181,179,181,182,180,181,181,182,182,180,182,182,180,180,181,180,182,182,181,181,182,180,181,180,180,181,182,182
2004-2005,179,181,181,181,181,181,181,179,181,180,181,180,181,181,181,181,181,181,180,181,181,181,181,181,180,181,179,181,178,180,179,181,179,181,181,181,181,179,181,179,181,180,181,179,178,181,181,181,181,180,181,181,181,179,181,180,181,179,181,181,181,180,179,180,180,181,181,181
2005-2006,180,181,181,179,181,181,181,179,180,181,179,181,181,181,181,181,181,179,181,181,181,179,179,180,181,181,180,181,180,181,180,181,179,181,181,181,179,180,181,180,181,181,181,180,178,181,181,181,181,180,181,179,179,180,179,181,181,180,179,179,181,181,180,179,181,181,181,180
2006-2007,179,181,181,178,181,181,181,181,181,181,180,181,179,181,181,179,181,180,181,181,181,180,180,181,181,179,181,181,181,181,181,181,179,181,181,181,180,181,181,181,181,181,179,181,180,179,181,181,181,181,181,178,180,181,180,179,181,181,178,180,181,181,181,180,179,181,179,181
2007-2008,181,182,182,181,182,180,182,180,182,182,182,182,181,182,182,181,182,182,182,182,180,182,182,182,182,181,180,182,182,182,182,180,181,180,182,182,182,182,180,182,182,182,179,182,182,179,182,180,182,182,182,181,182,182,182,181,180,182,179,182,182,182,180,182,181,182,181,182
2008-2009,181,181,181,179,181,179,180,180,181,181,181,181,180,181,181,181,181,181,181,180,180,181,180,180,181,181,180,181,181,181,180,180,181,179,180,179,179,180,180,181,181,181,180,181,180,179,181,180,181,180,181,181,181,179,181,179,180,181,180,180,180,181,180,179,179,180,181,181
2009-2010,179,181,181,180,181,180,181,179,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,180,181,179,181,181,181,181,181,181,181,178,181,180,180,180,179,181,179,181,181,181,181,178,181,179,181,180,181,181,181,180,179,180,181,179,181,181,181,181,181,180,180,181,181,179
2010-2011,180,181,181,180,181,181,181,180,180,181,181,181,180,181,180,181,180,181,181,181,180,181,181,181,181,180,180,181,181,181,181,181,181,180,180,181,181,181,180,181,179,181,181,181,181,180,180,180,181,181,180,181,181,181,179,181,181,180,180,181,181,180,180,181,181,181,181,180
2011-2012,182,182,182,181,182,181,180,182,181,180,181,182,181,182,181,181,181,182,181,182,181,182,181,182,182,181,181,182,182,180,182,181,180,182,181,180,180,181,182,181,179,180,180,181,182,182,181,182,182,180,179,181,181,182,181,182,182,180,180,180,182,181,181,181,181,182,182,182
2012-2013,181,181,181,181,179,181,180,181,179,180,181,181,181,179,181,181,181,181,181,181,181,181,181,181,181,179,179,181,179,180,181,181,180,181,181,180,180,179,181,179,180,180,178,179,179,181,181,181,179,180,178,181,181,181,181,181,181,180,181,180,181,181,181,181,181,181,181,181
2013-2014,181,181,181,179,180,181,181,179,180,181,181,181,181,180,181,181,181,179,181,181,181,181,181,181,179,180,180,181,180,181,181,179,179,181,181,181,181,180,181,180,181,179,180,180,180,181,181,181,180,179,180,179,179,181,181,181,181,179,181,181,181,181,179,179,181,181,181,181
