Season,isOverSnow_CLMCOM-CCLM4-ECEARTH-EUR11-RCP45-pcp,isOverSnow_CLMCOM-CCLM4-ECEARTH-EUR11-RCP85-pcp,isOverSnow_CLMCOM-CCLM4-HADGEM-EUR11-RCP45-pcp,isOverSnow_CLMCOM-CCLM4-HADGEM-EUR11-RCP85-pcp,isOverSnow_CLMCOM-CCLM4-HADGEM-EUR44-RCP85-pcp,isOverSnow_CLMCOM-CCLM4-MPIESM-EUR11-RCP45-pcp,isOverSnow_CLMCOM-CCLM4-MPIESM-EUR11-RCP85-pcp,isOverSnow_CLMCOM-CCLM4-MPIESM-EUR44-RCP45-pcp,isOverSnow_CLMCOM-CCLM4-MPIESM-EUR44-RCP85-pcp,isOverSnow_CLMCOM-CCLM5-ECEARTH-EUR44-RCP85-pcp,isOverSnow_CLMCOM-CCLM5-HADGEM-EUR44-RCP85-pcp,isOverSnow_CLMCOM-CCLM5-MIROC-EUR44-RCP85-pcp,isOverSnow_CLMCOM-CCLM5-MPIESM-EUR44-RCP85-pcp,isOverSnow_DMI-HIRHAM-ECEARTH-EUR11-RCP26-pcp,isOverSnow_DMI-HIRHAM-ECEARTH-EUR11-RCP45-pcp,isOverSnow_DMI-HIRHAM-ECEARTH-EUR11-RCP85-pcp,isOverSnow_DMI-HIRHAM-ECEARTH-EUR44-RCP45-pcp,isOverSnow_DMI-HIRHAM-ECEARTH-EUR44-RCP85-pcp,isOverSnow_ICTP-REGCM-HADGEM-EUR44-RCP85-pcp,isOverSnow_KNMI-RACMO-ECEARTH-EUR44-RCP45-pcp,isOverSnow_KNMI-RACMO-ECEARTH-EUR44-RCP85-pcp,isOverSnow_KNMI-RACMO-HADGEM-EUR44-RCP26-pcp,isOverSnow_KNMI-RACMO-HADGEM-EUR44-RCP45-pcp,isOverSnow_KNMI-RACMO-HADGEM-EUR44-RCP85-pcp,isOverSnow_MPICSC-REMO1-MPIESM-EUR11-RCP26-pcp,isOverSnow_MPICSC-REMO1-MPIESM-EUR11-RCP45-pcp,isOverSnow_MPICSC-REMO1-MPIESM-EUR11-RCP85-pcp,isOverSnow_MPICSC-REMO1-MPIESM-EUR44-RCP26-pcp,isOverSnow_MPICSC-REMO1-MPIESM-EUR44-RCP45-pcp,isOverSnow_MPICSC-REMO1-MPIESM-EUR44-RCP85-pcp,isOverSnow_MPICSC-REMO2-MPIESM-EUR11-RCP26-pcp,isOverSnow_MPICSC-REMO2-MPIESM-EUR11-RCP45-pcp,isOverSnow_MPICSC-REMO2-MPIESM-EUR11-RCP85-pcp,isOverSnow_MPICSC-REMO2-MPIESM-EUR44-RCP26-pcp,isOverSnow_MPICSC-REMO2-MPIESM-EUR44-RCP45-pcp,isOverSnow_MPICSC-REMO2-MPIESM-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-CCCMA-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-CCCMA-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-CSIRO-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-CSIRO-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-ECEARTH-EUR11-RCP26-pcp,isOverSnow_SMHI-RCA-ECEARTH-EUR11-RCP45-pcp,isOverSnow_SMHI-RCA-ECEARTH-EUR11-RCP85-pcp,isOverSnow_SMHI-RCA-ECEARTH-EUR44-RCP26-pcp,isOverSnow_SMHI-RCA-ECEARTH-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-ECEARTH-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-GFDL-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-GFDL-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-HADGEM-EUR11-RCP45-pcp,isOverSnow_SMHI-RCA-HADGEM-EUR11-RCP85-pcp,isOverSnow_SMHI-RCA-HADGEM-EUR44-RCP26-pcp,isOverSnow_SMHI-RCA-HADGEM-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-HADGEM-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-IPSL-EUR11-RCP45-pcp,isOverSnow_SMHI-RCA-IPSL-EUR11-RCP85-pcp,isOverSnow_SMHI-RCA-IPSL-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-IPSL-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-MIROC-EUR44-RCP26-pcp,isOverSnow_SMHI-RCA-MIROC-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-MIROC-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-MPIESM-EUR11-RCP45-pcp,isOverSnow_SMHI-RCA-MPIESM-EUR11-RCP85-pcp,isOverSnow_SMHI-RCA-MPIESM-EUR44-RCP26-pcp,isOverSnow_SMHI-RCA-MPIESM-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-MPIESM-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-NORESM-EUR44-RCP26-pcp,isOverSnow_SMHI-RCA-NORESM-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-NORESM-EUR44-RCP85-pcp
2081-2082,125.0,0.0,101.0,0.0,0.0,44.0,37.0,60.0,19.0,0.0,0.0,0.0,42.0,47.0,62.0,66.0,77.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,53.0,74.0,90.0,66.0,83.0,63.0,66.0,0.0,92.0,65.0,0.0,51.0,0.0,0.0,0.0,0.0,92.0,95.0,0.0,4.0,4.0,0.0,0.0,0.0,123.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,75.0,21.0,0.0,58.0,11.0,0.0,0.0,0.0
2082-2083,0.0,8.0,0.0,106.0,113.0,35.0,0.0,116.0,0.0,0.0,116.0,0.0,0.0,0.0,76.0,0.0,52.0,64.0,97.0,0.0,0.0,0.0,0.0,113.0,97.0,106.0,0.0,94.0,49.0,0.0,107.0,73.0,0.0,75.0,69.0,0.0,70.0,42.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,85.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,108.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0
2083-2084,0.0,5.0,0.0,0.0,0.0,20.0,3.0,69.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,59.0,19.0,21.0,0.0,0.0,0.0,30.0,0.0,0.0,24.0,28.0,0.0,56.0,0.0,0.0,116.0,35.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,51.0,80.0,0.0,56.0,0.0,0.0
2084-2085,44.0,0.0,11.0,0.0,0.0,87.0,0.0,76.0,0.0,0.0,35.0,0.0,0.0,0.0,96.0,58.0,18.0,61.0,30.0,0.0,32.0,79.0,5.0,0.0,90.0,124.0,0.0,91.0,113.0,0.0,0.0,26.0,0.0,0.0,10.0,0.0,0.0,0.0,90.0,0.0,9.0,70.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,35.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,45.0,100.0,0.0,0.0,0.0,0.0
2085-2086,0.0,0.0,0.0,0.0,23.0,0.0,0.0,5.0,0.0,0.0,56.0,0.0,0.0,0.0,61.0,0.0,43.0,0.0,73.0,0.0,5.0,111.0,33.0,0.0,61.0,3.0,0.0,45.0,10.0,0.0,100.0,26.0,73.0,107.0,88.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,17.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,72.0,0.0,0.0,0.0,0.0
2086-2087,14.0,0.0,0.0,0.0,0.0,52.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,57.0,7.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,88.0,0.0,22.0,74.0,0.0,19.0,90.0,8.0,3.0,60.0,0.0,0.0,20.0,0.0,0.0,83.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,7.0,20.0,0.0,0.0,6.0,0.0
2087-2088,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,76.0,27.0,81.0,35.0,2.0,27.0,0.0,0.0,23.0,0.0,95.0,88.0,0.0,4.0,33.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,125.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,47.0,0.0,0.0,48.0,0.0,14.0,50.0,0.0
2088-2089,0.0,0.0,16.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,91.0,118.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,95.0,0.0,0.0,31.0,0.0,82.0,0.0,27.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0
2089-2090,0.0,0.0,51.0,0.0,0.0,43.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,67.0,4.0,0.0,60.0,0.0,16.0,29.0,0.0,0.0,71.0,45.0,94.0,86.0,0.0,91.0,115.0,0.0,19.0,163.0,0.0,39.0,119.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,93.0,0.0,0.0,68.0,0.0,71.0,0.0,0.0,48.0,0.0,76.0,0.0,37.0,0.0,0.0,51.0,0.0,0.0,0.0,91.0,45.0,0.0,0.0,0.0,0.0
2090-2091,0.0,0.0,0.0,0.0,0.0,73.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,121.0,88.0,24.0,0.0,0.0,0.0,96.0,47.0,0.0,0.0,46.0,0.0,0.0,67.0,0.0,168.0,18.0,0.0,110.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,12.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,16.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0
2091-2092,0.0,0.0,0.0,0.0,0.0,57.0,0.0,65.0,0.0,0.0,0.0,37.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,76.0,57.0,0.0,135.0,53.0,0.0,92.0,28.0,0.0,105.0,69.0,0.0,0.0,0.0,0.0,13.0,71.0,0.0,0.0,59.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,44.0,6.0,0.0,58.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2092-2093,24.0,0.0,0.0,74.0,4.0,0.0,0.0,36.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,13.0,22.0,0.0,26.0,66.0,43.0,0.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,35.0,0.0,37.0,9.0,0.0,26.0,0.0,0.0
2093-2094,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,59.0,0.0,0.0,138.0,42.0,0.0,127.0,0.0,0.0,133.0,51.0,25.0,134.0,51.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,21.0,0.0,0.0,43.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,16.0,0.0,0.0,0.0,37.0,9.0,0.0,0.0,0.0,0.0
2094-2095,66.0,0.0,39.0,0.0,35.0,91.0,0.0,93.0,56.0,0.0,27.0,36.0,19.0,109.0,79.0,0.0,0.0,0.0,68.0,87.0,0.0,33.0,95.0,32.0,89.0,87.0,2.0,69.0,71.0,0.0,96.0,34.0,0.0,132.0,54.0,0.0,0.0,0.0,0.0,0.0,105.0,82.0,0.0,91.0,54.0,0.0,19.0,0.0,0.0,0.0,24.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,46.0,18.0,108.0,0.0,56.0,74.0,0.0,0.0,0.0,0.0
2095-2096,24.0,0.0,67.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,46.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,93.0,0.0,0.0,98.0,0.0,0.0,76.0,0.0,0.0,57.0,37.0,0.0,0.0,0.0,0.0,0.0,83.0,11.0,0.0,39.0,17.0,0.0,53.0,0.0,93.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,50.0,0.0,54.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
2096-2097,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,44.0,2.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,69.0,77.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,58.0,123.0,0.0,34.0,46.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
2097-2098,5.0,0.0,4.0,0.0,0.0,32.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,33.0,25.0,0.0,85.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,97.0,33.0,0.0,99.0,39.0,0.0,0.0,112.0,0.0,23.0,96.0,0.0,0.0,0.0,18.0,0.0,134.0,26.0,0.0,93.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,26.0,0.0,22.0,0.0,0.0
2098-2099,112.0,0.0,0.0,0.0,0.0,79.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,41.0,120.0,80.0,76.0,56.0,0.0,0.0,0.0,51.0,5.0,0.0,119.0,152.0,0.0,113.0,148.0,0.0,101.0,18.0,0.0,99.0,37.0,0.0,0.0,0.0,0.0,0.0,123.0,130.0,0.0,120.0,98.0,0.0,84.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,90.0,0.0,92.0,0.0,0.0
