Season,isOverSnow_CLMCOM-CCLM4-ECEARTH-EUR11-RCP45-pcp,isOverSnow_CLMCOM-CCLM4-ECEARTH-EUR11-RCP85-pcp,isOverSnow_CLMCOM-CCLM4-HADGEM-EUR11-RCP45-pcp,isOverSnow_CLMCOM-CCLM4-HADGEM-EUR11-RCP85-pcp,isOverSnow_CLMCOM-CCLM4-HADGEM-EUR44-RCP85-pcp,isOverSnow_CLMCOM-CCLM4-MPIESM-EUR11-RCP45-pcp,isOverSnow_CLMCOM-CCLM4-MPIESM-EUR11-RCP85-pcp,isOverSnow_CLMCOM-CCLM4-MPIESM-EUR44-RCP45-pcp,isOverSnow_CLMCOM-CCLM4-MPIESM-EUR44-RCP85-pcp,isOverSnow_CLMCOM-CCLM5-ECEARTH-EUR44-RCP85-pcp,isOverSnow_CLMCOM-CCLM5-HADGEM-EUR44-RCP85-pcp,isOverSnow_CLMCOM-CCLM5-MIROC-EUR44-RCP85-pcp,isOverSnow_CLMCOM-CCLM5-MPIESM-EUR44-RCP85-pcp,isOverSnow_DMI-HIRHAM-ECEARTH-EUR11-RCP26-pcp,isOverSnow_DMI-HIRHAM-ECEARTH-EUR11-RCP45-pcp,isOverSnow_DMI-HIRHAM-ECEARTH-EUR11-RCP85-pcp,isOverSnow_DMI-HIRHAM-ECEARTH-EUR44-RCP45-pcp,isOverSnow_DMI-HIRHAM-ECEARTH-EUR44-RCP85-pcp,isOverSnow_ICTP-REGCM-HADGEM-EUR44-RCP85-pcp,isOverSnow_KNMI-RACMO-ECEARTH-EUR44-RCP45-pcp,isOverSnow_KNMI-RACMO-ECEARTH-EUR44-RCP85-pcp,isOverSnow_KNMI-RACMO-HADGEM-EUR44-RCP26-pcp,isOverSnow_KNMI-RACMO-HADGEM-EUR44-RCP45-pcp,isOverSnow_KNMI-RACMO-HADGEM-EUR44-RCP85-pcp,isOverSnow_MPICSC-REMO1-MPIESM-EUR11-RCP26-pcp,isOverSnow_MPICSC-REMO1-MPIESM-EUR11-RCP45-pcp,isOverSnow_MPICSC-REMO1-MPIESM-EUR11-RCP85-pcp,isOverSnow_MPICSC-REMO1-MPIESM-EUR44-RCP26-pcp,isOverSnow_MPICSC-REMO1-MPIESM-EUR44-RCP45-pcp,isOverSnow_MPICSC-REMO1-MPIESM-EUR44-RCP85-pcp,isOverSnow_MPICSC-REMO2-MPIESM-EUR11-RCP26-pcp,isOverSnow_MPICSC-REMO2-MPIESM-EUR11-RCP45-pcp,isOverSnow_MPICSC-REMO2-MPIESM-EUR11-RCP85-pcp,isOverSnow_MPICSC-REMO2-MPIESM-EUR44-RCP26-pcp,isOverSnow_MPICSC-REMO2-MPIESM-EUR44-RCP45-pcp,isOverSnow_MPICSC-REMO2-MPIESM-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-CCCMA-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-CCCMA-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-CSIRO-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-CSIRO-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-ECEARTH-EUR11-RCP26-pcp,isOverSnow_SMHI-RCA-ECEARTH-EUR11-RCP45-pcp,isOverSnow_SMHI-RCA-ECEARTH-EUR11-RCP85-pcp,isOverSnow_SMHI-RCA-ECEARTH-EUR44-RCP26-pcp,isOverSnow_SMHI-RCA-ECEARTH-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-ECEARTH-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-GFDL-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-GFDL-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-HADGEM-EUR11-RCP45-pcp,isOverSnow_SMHI-RCA-HADGEM-EUR11-RCP85-pcp,isOverSnow_SMHI-RCA-HADGEM-EUR44-RCP26-pcp,isOverSnow_SMHI-RCA-HADGEM-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-HADGEM-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-IPSL-EUR11-RCP45-pcp,isOverSnow_SMHI-RCA-IPSL-EUR11-RCP85-pcp,isOverSnow_SMHI-RCA-IPSL-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-IPSL-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-MIROC-EUR44-RCP26-pcp,isOverSnow_SMHI-RCA-MIROC-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-MIROC-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-MPIESM-EUR11-RCP45-pcp,isOverSnow_SMHI-RCA-MPIESM-EUR11-RCP85-pcp,isOverSnow_SMHI-RCA-MPIESM-EUR44-RCP26-pcp,isOverSnow_SMHI-RCA-MPIESM-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-MPIESM-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-NORESM-EUR44-RCP26-pcp,isOverSnow_SMHI-RCA-NORESM-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-NORESM-EUR44-RCP85-pcp
2071-2072,0.0,49.0,3.0,56.0,0.0,16.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,107.0,92.0,0.0,82.0,0.0,43.0,76.0,0.0,41.0,15.0,36.0,89.0,0.0,0.0,0.0,0.0,0.0,84.0,40.0,0.0,84.0,42.0,0.0,0.0,0.0,55.0,0.0,64.0,64.0,62.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,81.0,0.0,52.0
2072-2073,76.0,0.0,34.0,57.0,43.0,40.0,0.0,55.0,0.0,0.0,44.0,0.0,0.0,102.0,41.0,0.0,71.0,0.0,31.0,0.0,0.0,0.0,41.0,54.0,58.0,52.0,0.0,0.0,48.0,0.0,90.0,2.0,113.0,100.0,0.0,69.0,21.0,0.0,89.0,0.0,94.0,55.0,0.0,69.0,54.0,0.0,0.0,0.0,0.0,30.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
2073-2074,19.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,118.0,0.0,94.0,0.0,58.0,0.0,0.0,0.0,25.0,27.0,0.0,51.0,118.0,0.0,0.0,25.0,0.0,104.0,53.0,0.0,83.0,39.0,0.0,44.0,0.0,61.0,0.0,112.0,0.0,0.0,107.0,0.0,0.0,41.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0
2074-2075,90.0,0.0,0.0,0.0,0.0,38.0,60.0,19.0,89.0,0.0,0.0,0.0,87.0,41.0,0.0,62.0,0.0,57.0,34.0,0.0,47.0,45.0,43.0,0.0,121.0,121.0,0.0,120.0,127.0,80.0,146.0,121.0,0.0,44.0,84.0,0.0,0.0,0.0,0.0,60.0,104.0,69.0,0.0,98.0,40.0,0.0,0.0,0.0,84.0,0.0,32.0,18.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,101.0,0.0,120.0,24.0,53.0,71.0,24.0,0.0
2075-2076,0.0,74.0,0.0,20.0,66.0,40.0,0.0,65.0,54.0,47.0,64.0,81.0,0.0,73.0,51.0,0.0,53.0,0.0,56.0,1.0,1.0,104.0,0.0,31.0,102.0,83.0,24.0,33.0,76.0,29.0,126.0,21.0,83.0,105.0,47.0,100.0,0.0,0.0,0.0,0.0,122.0,0.0,27.0,17.0,0.0,22.0,0.0,0.0,0.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,64.0,77.0,0.0,30.0,58.0,0.0,0.0,0.0,0.0
2076-2077,37.0,0.0,56.0,8.0,0.0,17.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,2.0,0.0,0.0,77.0,32.0,0.0,0.0,56.0,22.0,128.0,42.0,0.0,90.0,40.0,0.0,67.0,28.0,0.0,0.0,0.0,10.0,19.0,0.0,0.0,0.0,114.0,88.0,29.0,78.0,38.0,0.0,86.0,0.0,70.0,11.0,0.0,50.0,0.0,78.0,0.0,0.0,0.0,51.0,0.0,0.0,44.0,0.0,123.0,0.0,0.0,0.0,0.0,75.0
2077-2078,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,65.0,97.0,0.0,83.0,0.0,26.0,0.0,84.0,13.0,0.0,67.0,0.0,0.0,69.0,0.0,0.0,56.0,92.0,0.0,7.0,40.0,0.0,0.0,0.0,75.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
2078-2079,0.0,0.0,0.0,0.0,0.0,121.0,0.0,107.0,41.0,0.0,0.0,0.0,46.0,140.0,133.0,0.0,114.0,0.0,0.0,0.0,12.0,20.0,0.0,0.0,122.0,138.0,67.0,11.0,134.0,0.0,74.0,102.0,0.0,85.0,96.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,50.0,98.0,30.0,0.0,57.0,0.0
2079-2080,99.0,13.0,121.0,0.0,0.0,37.0,0.0,45.0,0.0,5.0,0.0,0.0,0.0,48.0,0.0,38.0,62.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,24.0,50.0,0.0,32.0,43.0,0.0,112.0,49.0,0.0,77.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,116.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
2080-2081,54.0,0.0,0.0,0.0,0.0,8.0,0.0,18.0,0.0,0.0,0.0,0.0,30.0,75.0,0.0,21.0,41.0,0.0,0.0,50.0,0.0,63.0,0.0,0.0,28.0,0.0,84.0,18.0,0.0,5.0,55.0,50.0,64.0,54.0,50.0,29.0,0.0,0.0,0.0,0.0,64.0,57.0,0.0,85.0,68.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,19.0
