Season,isOverSnow_sc_26_1,isOverSnow_sc_26_2,isOverSnow_sc_26_3,isOverSnow_sc_26_4,isOverSnow_sc_26_5,isOverSnow_sc_26_6,isOverSnow_sc_26_7,isOverSnow_sc_26_8,isOverSnow_sc_26_9,isOverSnow_sc_26_10,isOverSnow_sc_26_11,isOverSnow_sc_26_12,isOverSnow_sc_45_1,isOverSnow_sc_45_2,isOverSnow_sc_45_3,isOverSnow_sc_45_4,isOverSnow_sc_45_5,isOverSnow_sc_45_6,isOverSnow_sc_45_7,isOverSnow_sc_45_8,isOverSnow_sc_45_9,isOverSnow_sc_45_10,isOverSnow_sc_45_11,isOverSnow_sc_45_12,isOverSnow_sc_45_13,isOverSnow_sc_45_14,isOverSnow_sc_45_15,isOverSnow_sc_45_16,isOverSnow_sc_45_17,isOverSnow_sc_45_18,isOverSnow_sc_45_19,isOverSnow_sc_45_20,isOverSnow_sc_45_21,isOverSnow_sc_45_22,isOverSnow_sc_45_23,isOverSnow_sc_45_24,isOverSnow_sc_45_25,isOverSnow_sc_85_1,isOverSnow_sc_85_2,isOverSnow_sc_85_3,isOverSnow_sc_85_4,isOverSnow_sc_85_5,isOverSnow_sc_85_6,isOverSnow_sc_85_7,isOverSnow_sc_85_8,isOverSnow_sc_85_9,isOverSnow_sc_85_10,isOverSnow_sc_85_11,isOverSnow_sc_85_12,isOverSnow_sc_85_13,isOverSnow_sc_85_14,isOverSnow_sc_85_15,isOverSnow_sc_85_16,isOverSnow_sc_85_17,isOverSnow_sc_85_18,isOverSnow_sc_85_19,isOverSnow_sc_85_20,isOverSnow_sc_85_21,isOverSnow_sc_85_22,isOverSnow_sc_85_23,isOverSnow_sc_85_24,isOverSnow_sc_85_25,isOverSnow_sc_85_26,isOverSnow_sc_85_27,isOverSnow_sc_85_28,isOverSnow_sc_85_29,isOverSnow_sc_85_30,isOverSnow_sc_85_31
1981-1982,50.0,29.0,0.0,35.0,83.0,99.0,53.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,86.0,64.0,2.0,11.0,91.0,2.0,27.0,0.0,0.0,8.0,0.0,45.0,0.0,0.0,98.0,32.0,8.0,0.0,65.0,88.0,0.0,27.0,16.0,0.0,0.0,4.0,18.0,46.0,0.0,0.0,0.0,51.0,115.0,21.0,0.0,56.0,23.0,4.0,33.0,107.0,14.0,129.0,0.0,6.0,20.0,45.0,33.0,30.0
1982-1983,0.0,44.0,136.0,65.0,0.0,60.0,63.0,31.0,132.0,37.0,147.0,65.0,70.0,141.0,0.0,0.0,153.0,35.0,0.0,134.0,25.0,67.0,110.0,56.0,0.0,0.0,0.0,97.0,129.0,113.0,103.0,3.0,65.0,0.0,19.0,80.0,132.0,133.0,98.0,33.0,42.0,0.0,0.0,131.0,0.0,114.0,0.0,0.0,79.0,75.0,63.0,49.0,115.0,0.0,143.0,2.0,81.0,44.0,89.0,119.0,66.0,17.0,110.0,37.0,131.0,72.0,79.0,46.0
1983-1984,46.0,0.0,19.0,147.0,54.0,107.0,104.0,103.0,105.0,69.0,36.0,54.0,0.0,103.0,86.0,46.0,92.0,93.0,73.0,136.0,68.0,72.0,39.0,22.0,110.0,138.0,65.0,15.0,46.0,93.0,69.0,84.0,78.0,0.0,0.0,129.0,134.0,119.0,72.0,79.0,108.0,80.0,42.0,34.0,0.0,106.0,102.0,55.0,0.0,14.0,60.0,46.0,122.0,129.0,120.0,0.0,134.0,122.0,66.0,67.0,0.0,0.0,66.0,97.0,0.0,79.0,75.0,66.0
1984-1985,101.0,80.0,100.0,101.0,0.0,76.0,38.0,36.0,4.0,77.0,41.0,49.0,83.0,65.0,32.0,0.0,0.0,19.0,106.0,84.0,0.0,35.0,108.0,12.0,79.0,117.0,51.0,83.0,96.0,60.0,28.0,45.0,140.0,39.0,70.0,9.0,49.0,142.0,70.0,35.0,124.0,26.0,99.0,70.0,49.0,43.0,77.0,109.0,79.0,41.0,8.0,96.0,39.0,61.0,40.0,60.0,38.0,88.0,8.0,16.0,83.0,79.0,40.0,78.0,80.0,67.0,38.0,83.0
1985-1986,34.0,0.0,55.0,53.0,47.0,62.0,20.0,0.0,18.0,41.0,0.0,0.0,8.0,102.0,0.0,46.0,8.0,30.0,27.0,0.0,54.0,0.0,33.0,34.0,8.0,0.0,65.0,31.0,0.0,39.0,66.0,63.0,0.0,38.0,53.0,0.0,46.0,45.0,62.0,37.0,0.0,24.0,0.0,0.0,45.0,0.0,57.0,33.0,0.0,81.0,58.0,29.0,52.0,33.0,0.0,92.0,0.0,39.0,0.0,0.0,48.0,21.0,8.0,0.0,54.0,63.0,38.0,0.0
1986-1987,0.0,0.0,0.0,14.0,12.0,0.0,19.0,0.0,8.0,38.0,0.0,41.0,38.0,0.0,18.0,20.0,0.0,0.0,0.0,0.0,19.0,20.0,41.0,2.0,20.0,16.0,0.0,0.0,0.0,2.0,54.0,69.0,41.0,46.0,0.0,15.0,18.0,54.0,20.0,41.0,0.0,39.0,42.0,0.0,28.0,0.0,0.0,104.0,17.0,0.0,0.0,0.0,0.0,39.0,0.0,18.0,12.0,35.0,0.0,59.0,0.0,4.0,17.0,0.0,23.0,0.0,96.0,0.0
1987-1988,0.0,61.0,43.0,74.0,82.0,14.0,52.0,57.0,34.0,70.0,71.0,50.0,0.0,50.0,37.0,0.0,82.0,0.0,36.0,8.0,0.0,32.0,7.0,79.0,46.0,66.0,0.0,58.0,6.0,82.0,51.0,36.0,108.0,70.0,62.0,0.0,5.0,49.0,51.0,25.0,122.0,0.0,36.0,56.0,53.0,52.0,23.0,0.0,58.0,21.0,80.0,72.0,43.0,75.0,0.0,23.0,62.0,59.0,71.0,85.0,108.0,19.0,8.0,13.0,11.0,0.0,0.0,64.0
1988-1989,0.0,30.0,66.0,2.0,35.0,64.0,0.0,11.0,9.0,8.0,28.0,51.0,15.0,4.0,79.0,52.0,0.0,10.0,0.0,34.0,0.0,36.0,13.0,5.0,17.0,6.0,0.0,52.0,36.0,96.0,0.0,10.0,0.0,0.0,17.0,24.0,52.0,68.0,0.0,0.0,27.0,1.0,63.0,16.0,91.0,2.0,0.0,28.0,55.0,12.0,0.0,0.0,11.0,34.0,35.0,37.0,29.0,35.0,10.0,0.0,6.0,0.0,7.0,2.0,4.0,30.0,21.0,64.0
1989-1990,16.0,1.0,12.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,8.0,40.0,0.0,15.0,11.0,0.0,2.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,14.0,38.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,15.0,0.0,6.0,0.0,1.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,44.0,8.0,0.0,16.0,0.0,20.0,12.0,0.0,0.0,0.0,23.0,0.0,0.0,7.0,0.0,0.0,3.0,33.0,12.0
1990-1991,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
