Season,isOverSnow_sc_26_1,isOverSnow_sc_26_2,isOverSnow_sc_26_3,isOverSnow_sc_26_4,isOverSnow_sc_26_5,isOverSnow_sc_26_6,isOverSnow_sc_26_7,isOverSnow_sc_26_8,isOverSnow_sc_26_9,isOverSnow_sc_26_10,isOverSnow_sc_26_11,isOverSnow_sc_26_12,isOverSnow_sc_45_1,isOverSnow_sc_45_2,isOverSnow_sc_45_3,isOverSnow_sc_45_4,isOverSnow_sc_45_5,isOverSnow_sc_45_6,isOverSnow_sc_45_7,isOverSnow_sc_45_8,isOverSnow_sc_45_9,isOverSnow_sc_45_10,isOverSnow_sc_45_11,isOverSnow_sc_45_12,isOverSnow_sc_45_13,isOverSnow_sc_45_14,isOverSnow_sc_45_15,isOverSnow_sc_45_16,isOverSnow_sc_45_17,isOverSnow_sc_45_18,isOverSnow_sc_45_19,isOverSnow_sc_45_20,isOverSnow_sc_45_21,isOverSnow_sc_45_22,isOverSnow_sc_45_23,isOverSnow_sc_45_24,isOverSnow_sc_45_25,isOverSnow_sc_85_1,isOverSnow_sc_85_2,isOverSnow_sc_85_3,isOverSnow_sc_85_4,isOverSnow_sc_85_5,isOverSnow_sc_85_6,isOverSnow_sc_85_7,isOverSnow_sc_85_8,isOverSnow_sc_85_9,isOverSnow_sc_85_10,isOverSnow_sc_85_11,isOverSnow_sc_85_12,isOverSnow_sc_85_13,isOverSnow_sc_85_14,isOverSnow_sc_85_15,isOverSnow_sc_85_16,isOverSnow_sc_85_17,isOverSnow_sc_85_18,isOverSnow_sc_85_19,isOverSnow_sc_85_20,isOverSnow_sc_85_21,isOverSnow_sc_85_22,isOverSnow_sc_85_23,isOverSnow_sc_85_24,isOverSnow_sc_85_25,isOverSnow_sc_85_26,isOverSnow_sc_85_27,isOverSnow_sc_85_28,isOverSnow_sc_85_29,isOverSnow_sc_85_30,isOverSnow_sc_85_31
1981-1982,0.0,32.0,47.0,100.0,43.0,69.0,73.0,0.0,0.0,6.0,0.0,34.0,16.0,0.0,0.0,39.0,96.0,0.0,14.0,0.0,67.0,0.0,48.0,0.0,108.0,0.0,56.0,0.0,0.0,0.0,0.0,75.0,38.0,63.0,50.0,0.0,53.0,40.0,0.0,12.0,29.0,48.0,78.0,56.0,48.0,39.0,0.0,56.0,0.0,0.0,0.0,6.0,3.0,34.0,27.0,23.0,79.0,0.0,0.0,0.0,24.0,13.0,85.0,0.0,23.0,0.0,0.0,99.0
1982-1983,30.0,104.0,95.0,0.0,0.0,75.0,132.0,49.0,13.0,78.0,67.0,0.0,4.0,0.0,145.0,103.0,70.0,36.0,66.0,124.0,44.0,0.0,63.0,0.0,72.0,81.0,0.0,73.0,117.0,69.0,0.0,0.0,103.0,0.0,91.0,135.0,116.0,0.0,0.0,0.0,0.0,63.0,82.0,40.0,101.0,115.0,97.0,56.0,134.0,75.0,136.0,133.0,34.0,0.0,30.0,58.0,62.0,123.0,97.0,0.0,2.0,2.0,4.0,111.0,69.0,115.0,125.0,64.0
1983-1984,34.0,73.0,61.0,106.0,0.0,19.0,18.0,101.0,121.0,147.0,70.0,25.0,111.0,73.0,120.0,143.0,78.0,38.0,0.0,30.0,103.0,71.0,72.0,78.0,77.0,0.0,0.0,86.0,105.0,0.0,96.0,37.0,0.0,47.0,92.0,127.0,8.0,46.0,107.0,28.0,36.0,122.0,42.0,88.0,83.0,79.0,27.0,0.0,85.0,65.0,135.0,48.0,101.0,93.0,45.0,0.0,103.0,30.0,94.0,25.0,118.0,84.0,85.0,0.0,67.0,25.0,122.0,0.0
1984-1985,66.0,27.0,36.0,0.0,75.0,116.0,82.0,0.0,42.0,29.0,78.0,118.0,46.0,77.0,80.0,53.0,72.0,61.0,101.0,28.0,74.0,80.0,0.0,0.0,29.0,41.0,48.0,82.0,88.0,14.0,0.0,0.0,93.0,22.0,45.0,140.0,84.0,98.0,56.0,81.0,46.0,96.0,0.0,21.0,81.0,83.0,30.0,56.0,78.0,0.0,33.0,62.0,51.0,33.0,52.0,70.0,43.0,19.0,117.0,152.0,70.0,100.0,0.0,71.0,26.0,135.0,84.0,46.0
1985-1986,0.0,55.0,16.0,60.0,7.0,0.0,25.0,41.0,53.0,14.0,0.0,53.0,43.0,0.0,0.0,17.0,74.0,39.0,0.0,0.0,0.0,43.0,0.0,35.0,54.0,30.0,34.0,59.0,63.0,61.0,45.0,0.0,8.0,53.0,33.0,0.0,0.0,43.0,0.0,0.0,93.0,79.0,0.0,6.0,47.0,27.0,0.0,0.0,49.0,74.0,84.0,63.0,0.0,2.0,34.0,0.0,0.0,30.0,30.0,0.0,57.0,29.0,38.0,61.0,65.0,29.0,41.0,51.0
1986-1987,0.0,0.0,21.0,44.0,0.0,50.0,0.0,58.0,0.0,22.0,0.0,12.0,13.0,0.0,8.0,15.0,37.0,32.0,11.0,0.0,39.0,80.0,0.0,20.0,42.0,7.0,0.0,36.0,0.0,97.0,0.0,18.0,0.0,0.0,43.0,14.0,0.0,0.0,0.0,18.0,28.0,10.0,0.0,39.0,104.0,18.0,0.0,15.0,0.0,20.0,22.0,102.0,42.0,8.0,0.0,39.0,25.0,0.0,1.0,29.0,0.0,0.0,0.0,16.0,0.0,17.0,0.0,1.0
1987-1988,22.0,52.0,54.0,82.0,0.0,72.0,34.0,33.0,5.0,79.0,59.0,59.0,54.0,5.0,53.0,0.0,0.0,53.0,72.0,84.0,14.0,27.0,0.0,0.0,81.0,114.0,26.0,47.0,0.0,6.0,51.0,13.0,85.0,0.0,23.0,82.0,36.0,0.0,2.0,63.0,34.0,35.0,62.0,29.0,61.0,5.0,78.0,46.0,0.0,0.0,103.0,64.0,83.0,37.0,51.0,35.0,0.0,52.0,19.0,78.0,0.0,113.0,0.0,51.0,0.0,44.0,70.0,47.0
1988-1989,39.0,35.0,0.0,36.0,0.0,0.0,76.0,43.0,0.0,61.0,29.0,28.0,8.0,17.0,14.0,40.0,81.0,9.0,33.0,34.0,17.0,15.0,0.0,68.0,0.0,33.0,0.0,27.0,20.0,48.0,0.0,14.0,35.0,0.0,59.0,84.0,26.0,23.0,30.0,25.0,17.0,20.0,0.0,0.0,23.0,36.0,51.0,44.0,0.0,52.0,1.0,2.0,22.0,0.0,11.0,86.0,11.0,79.0,12.0,7.0,96.0,30.0,2.0,59.0,3.0,21.0,0.0,34.0
1989-1990,1.0,22.0,67.0,0.0,7.0,0.0,27.0,0.0,17.0,1.0,5.0,0.0,42.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,9.0,17.0,0.0,28.0,0.0,23.0,0.0,0.0,0.0,0.0,17.0,23.0,14.0,5.0,0.0,10.0,0.0,0.0,66.0,0.0,1.0,0.0,0.0,12.0,25.0,2.0,9.0,0.0,39.0,12.0,7.0,0.0,0.0,0.0,0.0,11.0,22.0,1.0,7.0,0.0,41.0,0.0,32.0,28.0,40.0,0.0,7.0
1990-1991,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
