Season,isOverSnow_sc_26_1,isOverSnow_sc_26_2,isOverSnow_sc_26_3,isOverSnow_sc_26_4,isOverSnow_sc_26_5,isOverSnow_sc_26_6,isOverSnow_sc_26_7,isOverSnow_sc_26_8,isOverSnow_sc_26_9,isOverSnow_sc_26_10,isOverSnow_sc_26_11,isOverSnow_sc_26_12,isOverSnow_sc_45_1,isOverSnow_sc_45_2,isOverSnow_sc_45_3,isOverSnow_sc_45_4,isOverSnow_sc_45_5,isOverSnow_sc_45_6,isOverSnow_sc_45_7,isOverSnow_sc_45_8,isOverSnow_sc_45_9,isOverSnow_sc_45_10,isOverSnow_sc_45_11,isOverSnow_sc_45_12,isOverSnow_sc_45_13,isOverSnow_sc_45_14,isOverSnow_sc_45_15,isOverSnow_sc_45_16,isOverSnow_sc_45_17,isOverSnow_sc_45_18,isOverSnow_sc_45_19,isOverSnow_sc_45_20,isOverSnow_sc_45_21,isOverSnow_sc_45_22,isOverSnow_sc_45_23,isOverSnow_sc_45_24,isOverSnow_sc_45_25,isOverSnow_sc_85_1,isOverSnow_sc_85_2,isOverSnow_sc_85_3,isOverSnow_sc_85_4,isOverSnow_sc_85_5,isOverSnow_sc_85_6,isOverSnow_sc_85_7,isOverSnow_sc_85_8,isOverSnow_sc_85_9,isOverSnow_sc_85_10,isOverSnow_sc_85_11,isOverSnow_sc_85_12,isOverSnow_sc_85_13,isOverSnow_sc_85_14,isOverSnow_sc_85_15,isOverSnow_sc_85_16,isOverSnow_sc_85_17,isOverSnow_sc_85_18,isOverSnow_sc_85_19,isOverSnow_sc_85_20,isOverSnow_sc_85_21,isOverSnow_sc_85_22,isOverSnow_sc_85_23,isOverSnow_sc_85_24,isOverSnow_sc_85_25,isOverSnow_sc_85_26,isOverSnow_sc_85_27,isOverSnow_sc_85_28,isOverSnow_sc_85_29,isOverSnow_sc_85_30,isOverSnow_sc_85_31
1981-1982,0.0,0.0,20.0,0.0,69.0,0.0,61.0,28.0,79.0,41.0,0.0,31.0,68.0,0.0,33.0,69.0,0.0,0.0,1.0,25.0,0.0,74.0,50.0,17.0,0.0,88.0,18.0,9.0,5.0,0.0,17.0,0.0,0.0,114.0,0.0,0.0,0.0,39.0,8.0,0.0,13.0,101.0,7.0,83.0,0.0,23.0,78.0,44.0,0.0,33.0,19.0,0.0,0.0,20.0,18.0,100.0,17.0,0.0,25.0,0.0,0.0,0.0,24.0,18.0,0.0,0.0,0.0,9.0
1982-1983,82.0,13.0,60.0,91.0,99.0,0.0,52.0,77.0,36.0,0.0,0.0,10.0,0.0,32.0,0.0,54.0,34.0,0.0,58.0,53.0,0.0,76.0,40.0,115.0,85.0,12.0,13.0,110.0,93.0,0.0,0.0,103.0,124.0,25.0,65.0,72.0,0.0,57.0,93.0,63.0,130.0,0.0,110.0,0.0,0.0,73.0,40.0,0.0,104.0,15.0,131.0,91.0,78.0,0.0,75.0,96.0,4.0,82.0,16.0,29.0,64.0,0.0,0.0,58.0,42.0,0.0,136.0,101.0
1983-1984,65.0,85.0,122.0,57.0,108.0,0.0,68.0,147.0,0.0,36.0,74.0,128.0,102.0,10.0,120.0,0.0,67.0,101.0,46.0,78.0,0.0,10.0,110.0,70.0,61.0,47.0,75.0,0.0,0.0,73.0,91.0,29.0,130.0,134.0,0.0,0.0,69.0,39.0,76.0,146.0,77.0,95.0,76.0,0.0,69.0,103.0,84.0,40.0,17.0,57.0,88.0,79.0,13.0,41.0,44.0,39.0,40.0,120.0,96.0,34.0,19.0,0.0,101.0,87.0,55.0,51.0,0.0,78.0
1984-1985,4.0,49.0,49.0,29.0,118.0,0.0,0.0,37.0,85.0,83.0,55.0,72.0,20.0,32.0,82.0,70.0,80.0,76.0,18.0,82.0,82.0,12.0,2.0,49.0,28.0,32.0,70.0,114.0,69.0,53.0,137.0,25.0,72.0,49.0,3.0,70.0,0.0,3.0,70.0,59.0,62.0,42.0,76.0,50.0,0.0,78.0,39.0,142.0,45.0,63.0,0.0,12.0,69.0,87.0,42.0,81.0,58.0,81.0,75.0,29.0,27.0,29.0,50.0,93.0,79.0,102.0,20.0,61.0
1985-1986,24.0,0.0,0.0,31.0,0.0,33.0,43.0,33.0,53.0,0.0,0.0,53.0,23.0,0.0,52.0,0.0,47.0,0.0,31.0,0.0,0.0,0.0,29.0,46.0,38.0,18.0,0.0,0.0,0.0,28.0,64.0,9.0,0.0,34.0,19.0,55.0,0.0,0.0,0.0,32.0,0.0,0.0,12.0,0.0,19.0,24.0,33.0,32.0,64.0,0.0,0.0,38.0,53.0,8.0,0.0,37.0,0.0,0.0,0.0,0.0,26.0,7.0,55.0,17.0,34.0,38.0,53.0,0.0
1986-1987,0.0,0.0,0.0,0.0,0.0,0.0,17.0,43.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,36.0,0.0,41.0,0.0,0.0,21.0,0.0,39.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,5.0,0.0,43.0,0.0,7.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,11.0,13.0,0.0,38.0,19.0,7.0,0.0,5.0,8.0,7.0,8.0,0.0,74.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-1988,37.0,0.0,51.0,1.0,65.0,24.0,0.0,46.0,44.0,33.0,35.0,0.0,71.0,0.0,24.0,41.0,0.0,0.0,0.0,0.0,0.0,59.0,49.0,47.0,50.0,28.0,18.0,18.0,48.0,33.0,65.0,0.0,28.0,22.0,0.0,80.0,23.0,37.0,18.0,79.0,0.0,12.0,0.0,0.0,5.0,24.0,0.0,28.0,6.0,61.0,15.0,0.0,0.0,33.0,22.0,0.0,0.0,84.0,9.0,74.0,51.0,0.0,70.0,0.0,0.0,5.0,44.0,0.0
1988-1989,0.0,32.0,77.0,22.0,0.0,29.0,1.0,16.0,25.0,0.0,0.0,14.0,62.0,10.0,12.0,0.0,21.0,0.0,2.0,6.0,15.0,0.0,0.0,6.0,34.0,0.0,55.0,0.0,0.0,78.0,0.0,10.0,34.0,10.0,13.0,28.0,14.0,0.0,12.0,0.0,0.0,3.0,6.0,91.0,0.0,0.0,0.0,0.0,0.0,50.0,13.0,23.0,7.0,12.0,0.0,7.0,3.0,33.0,0.0,16.0,28.0,77.0,4.0,0.0,21.0,12.0,0.0,60.0
1989-1990,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,3.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
