Season,isOverSnow_sc_26_1,isOverSnow_sc_26_2,isOverSnow_sc_26_3,isOverSnow_sc_26_4,isOverSnow_sc_26_5,isOverSnow_sc_26_6,isOverSnow_sc_26_7,isOverSnow_sc_26_8,isOverSnow_sc_26_9,isOverSnow_sc_26_10,isOverSnow_sc_26_11,isOverSnow_sc_26_12,isOverSnow_sc_45_1,isOverSnow_sc_45_2,isOverSnow_sc_45_3,isOverSnow_sc_45_4,isOverSnow_sc_45_5,isOverSnow_sc_45_6,isOverSnow_sc_45_7,isOverSnow_sc_45_8,isOverSnow_sc_45_9,isOverSnow_sc_45_10,isOverSnow_sc_45_11,isOverSnow_sc_45_12,isOverSnow_sc_45_13,isOverSnow_sc_45_14,isOverSnow_sc_45_15,isOverSnow_sc_45_16,isOverSnow_sc_45_17,isOverSnow_sc_45_18,isOverSnow_sc_45_19,isOverSnow_sc_45_20,isOverSnow_sc_45_21,isOverSnow_sc_45_22,isOverSnow_sc_45_23,isOverSnow_sc_45_24,isOverSnow_sc_45_25,isOverSnow_sc_85_1,isOverSnow_sc_85_2,isOverSnow_sc_85_3,isOverSnow_sc_85_4,isOverSnow_sc_85_5,isOverSnow_sc_85_6,isOverSnow_sc_85_7,isOverSnow_sc_85_8,isOverSnow_sc_85_9,isOverSnow_sc_85_10,isOverSnow_sc_85_11,isOverSnow_sc_85_12,isOverSnow_sc_85_13,isOverSnow_sc_85_14,isOverSnow_sc_85_15,isOverSnow_sc_85_16,isOverSnow_sc_85_17,isOverSnow_sc_85_18,isOverSnow_sc_85_19,isOverSnow_sc_85_20,isOverSnow_sc_85_21,isOverSnow_sc_85_22,isOverSnow_sc_85_23,isOverSnow_sc_85_24,isOverSnow_sc_85_25,isOverSnow_sc_85_26,isOverSnow_sc_85_27,isOverSnow_sc_85_28,isOverSnow_sc_85_29,isOverSnow_sc_85_30,isOverSnow_sc_85_31
1981-1982,45.0,16.0,39.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,65.0,0.0,0.0,27.0,0.0,0.0,20.0,0.0,37.0,0.0,23.0,0.0,27.0,45.0,101.0,72.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,39.0,0.0,0.0,88.0,46.0,0.0,0.0,57.0,0.0,0.0,0.0,117.0,64.0,0.0,67.0,12.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,41.0,35.0,0.0,76.0,0.0,0.0,0.0
1982-1983,64.0,16.0,41.0,0.0,0.0,87.0,23.0,95.0,0.0,7.0,18.0,90.0,132.0,0.0,133.0,0.0,0.0,86.0,0.0,60.0,0.0,0.0,82.0,0.0,31.0,64.0,0.0,0.0,16.0,122.0,134.0,70.0,54.0,103.0,38.0,99.0,73.0,2.0,111.0,67.0,28.0,0.0,1.0,0.0,70.0,117.0,69.0,23.0,54.0,0.0,66.0,0.0,32.0,125.0,0.0,0.0,15.0,92.0,55.0,0.0,99.0,146.0,0.0,118.0,34.0,0.0,29.0,133.0
1983-1984,102.0,46.0,25.0,0.0,80.0,0.0,78.0,65.0,65.0,15.0,121.0,72.0,46.0,29.0,2.0,78.0,87.0,50.0,65.0,110.0,46.0,69.0,100.0,73.0,0.0,25.0,0.0,68.0,14.0,102.0,0.0,146.0,122.0,73.0,0.0,71.0,8.0,88.0,84.0,115.0,66.0,0.0,91.0,0.0,108.0,65.0,0.0,81.0,135.0,81.0,102.0,0.0,65.0,45.0,86.0,66.0,75.0,91.0,80.0,9.0,120.0,0.0,85.0,55.0,19.0,45.0,65.0,43.0
1984-1985,0.0,32.0,25.0,43.0,74.0,72.0,98.0,0.0,32.0,101.0,0.0,0.0,80.0,27.0,1.0,79.0,71.0,58.0,0.0,39.0,88.0,6.0,69.0,43.0,43.0,26.0,84.0,103.0,0.0,0.0,59.0,33.0,5.0,76.0,70.0,0.0,0.0,23.0,77.0,36.0,132.0,33.0,102.0,62.0,73.0,45.0,52.0,28.0,48.0,0.0,40.0,62.0,0.0,81.0,66.0,29.0,36.0,11.0,44.0,61.0,66.0,47.0,45.0,0.0,80.0,106.0,22.0,102.0
1985-1986,0.0,0.0,37.0,52.0,10.0,0.0,0.0,54.0,6.0,18.0,53.0,38.0,7.0,0.0,0.0,25.0,52.0,0.0,40.0,0.0,8.0,8.0,19.0,0.0,40.0,66.0,36.0,26.0,41.0,19.0,38.0,65.0,0.0,0.0,0.0,0.0,52.0,0.0,53.0,0.0,64.0,55.0,0.0,12.0,0.0,1.0,37.0,52.0,28.0,22.0,0.0,38.0,16.0,0.0,62.0,0.0,33.0,0.0,23.0,0.0,0.0,33.0,7.0,39.0,63.0,0.0,18.0,0.0
1986-1987,0.0,0.0,0.0,7.0,11.0,29.0,0.0,0.0,6.0,41.0,0.0,5.0,27.0,7.0,0.0,0.0,9.0,11.0,95.0,11.0,56.0,0.0,0.0,0.0,0.0,24.0,0.0,16.0,56.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,7.0,0.0,0.0,0.0,82.0,15.0,0.0,9.0,0.0,0.0,33.0,7.0,0.0,3.0,0.0,0.0,0.0,40.0,17.0,14.0,57.0,70.0,22.0,0.0,63.0,0.0,19.0,41.0
1987-1988,62.0,107.0,18.0,0.0,33.0,0.0,96.0,52.0,14.0,82.0,59.0,70.0,46.0,71.0,0.0,9.0,74.0,0.0,0.0,0.0,58.0,86.0,35.0,0.0,15.0,39.0,42.0,11.0,37.0,0.0,75.0,122.0,69.0,0.0,0.0,0.0,30.0,0.0,81.0,0.0,82.0,33.0,81.0,71.0,21.0,62.0,82.0,71.0,36.0,33.0,52.0,23.0,44.0,0.0,0.0,41.0,0.0,25.0,0.0,73.0,47.0,22.0,70.0,0.0,35.0,0.0,0.0,5.0
1988-1989,0.0,1.0,0.0,5.0,10.0,1.0,0.0,47.0,51.0,30.0,48.0,79.0,16.0,0.0,31.0,75.0,6.0,17.0,0.0,10.0,30.0,17.0,0.0,32.0,0.0,19.0,30.0,0.0,5.0,14.0,7.0,0.0,29.0,97.0,32.0,58.0,34.0,20.0,24.0,0.0,0.0,16.0,29.0,63.0,34.0,1.0,0.0,8.0,14.0,0.0,15.0,64.0,2.0,0.0,0.0,15.0,97.0,0.0,0.0,0.0,34.0,4.0,30.0,28.0,40.0,28.0,35.0,8.0
1989-1990,12.0,0.0,0.0,10.0,19.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,7.0,0.0,4.0,0.0,30.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,12.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7.0,24.0,20.0,6.0,0.0,0.0,0.0,42.0,0.0,11.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,12.0,17.0,0.0,0.0,0.0,0.0
1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-1992,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,6.0,7.0,31.0,0.0,9.0,0.0,0.0,16.0,21.0,19.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,23.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,8.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,6.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
1992-1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1994-1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
